,sim,k,h,Z12,Zcom12,Z23,Zcom23,e1,e2,e3,m1,m2,m3,probstability
32,32.0,0.001181148048386894,0.004295242178694245,0.004984937005924703,0.006258241491275407,0.05767494933990396,0.06346696909069242,0.007727062742007463,0.0044546847347306465,0.07107957163543727,4.8238529508855445e-06,2.0967188873097627e-06,7.423438649550576e-06,0.026494169607758522
33,33.0,-0.004148563947034094,-0.008568294598786984,0.0075745089637480134,0.002309701292267567,0.02939545466305681,0.03758474452088506,0.0013503652887366816,0.009519782306031652,0.03894727756919852,6.818291394661161e-06,2.5355369036157708e-06,1.1087894274713377e-05,0.032126087695360184
34,34.0,-0.028127687826182343,0.025278377548722232,0.026837283985633936,0.01610157987331644,0.08647010546830902,0.10554761839155573,0.0022073334101677987,0.03781749851514389,0.13488974089771205,7.171090258581632e-06,4.394299468401527e-06,6.596987463491558e-06,0.015527837909758091
35,35.0,0.0035432987828445985,0.0689000909323631,0.05141639612499901,0.05373559924886796,0.051700124075562334,0.015095059146249645,0.003286529629468834,0.06899114071206833,0.014402152975823077,7.946451898218457e-07,2.0735074608895384e-06,2.277232900656874e-05,0.005014481488615274
36,36.0,-0.04050506947262944,0.015248789449940564,0.03434134374353421,0.031008491634505437,0.03020833711525456,0.022876484117630907,0.0029086643293587,0.04328032154075517,0.0020643787939447935,1.930373228062714e-06,4.33161657459515e-06,4.894766830086821e-06,0.9479070901870728
37,37.0,-0.025995232923286062,0.049415549293276385,0.06184358651513115,0.025707686151735853,0.038688836108278696,0.030955510150742615,0.03382192882447561,0.05583590821946146,0.003275389186565888,2.0678150215727777e-05,2.5792069114475434e-06,2.6906140722549124e-06,4.178136805421673e-05
38,38.0,0.0026132169068382423,0.007940909506426301,0.0035344599136671994,0.005938408556884786,0.034999000165246125,0.020601343077455554,0.004250297162977188,0.008359841289847365,0.038976093652026964,8.003863761310401e-06,4.710328240429801e-06,5.623836411935609e-06,0.19889263808727264
39,39.0,0.0016349074215230065,0.0017506825917188037,0.025158902388777403,0.033669649022517914,0.12331136869316606,0.1312897264362821,0.035323847734378716,0.002395373000995518,0.15412935742162445,1.5489319854038455e-05,8.269849752704068e-07,2.401647280066011e-06,0.001310621970333159
40,40.0,-0.0006749523596413943,0.0012706107596874607,0.041792898107490394,0.020317431681534204,0.002425869927096696,0.0025362903714462844,0.06131750252485598,0.0014387537629556462,0.003813775312672574,2.0243289363214712e-06,4.447818993486258e-06,3.5055825156917355e-06,0.9836814403533936
41,41.0,-0.004133301433238009,0.002879559509639002,0.010355283961320698,0.006305510487576791,0.03164618383120949,0.019259066619010837,0.013168084790848114,0.005037464015510164,0.03564860142476469,4.240733689052357e-06,5.301227804777104e-06,6.613242719431049e-06,0.008987097069621086
