,runstring,instability_time,shadow_instability_time,Stable,Mstar,Z12,Z23,mu1,mu2,mu3,e1,e2,e3,h1,h2,h3,k1,k2,k3,ecom,spockprob
334,0000334.bin,1000000000.0,1000000000.0,True,0.907,0.0062433670647796214,0.03874480899154396,2.4438188774999998e-05,1.3577950386000001e-05,1.3049929893e-05,0.05703045082507161,0.04920014411339145,0.07916913445301894,-0.05096978000000005,-0.039747759999999986,-0.03428640999999957,-0.025584250000000135,-0.0289960299999998,-0.07135961000000014,0.058052403895951524,0.7846161723136902
335,0000335.bin,999000000.0220383,999000000.0220383,True,0.907,0.0059796372109385395,0.12302990228115913,2.5147974852e-05,1.0506055559999998e-05,4.90519029e-07,0.03316495955278698,0.03236906708131219,0.1783430016953468,-0.018052480000000093,-0.010480290000000187,-0.09501775999999974,-0.027821259999999872,-0.030625479999999747,-0.15092333000000008,0.03469852109307236,0.8738231658935547
336,0000336.bin,694274.4139868582,283917.7684521057,False,0.907,0.006204237536543346,0.13362990262095864,2.0723273571000002e-05,1.1550036498e-05,3.12909597e-07,0.1821020604191848,0.15454970118734154,0.057237417013192515,-0.15349833999999976,-0.13084937000000021,0.011338609999999786,0.09797663000000001,0.08224386,-0.056103100000000045,0.17020643008215808,0.7098139524459839
337,0000337.bin,999000000.0019614,999000000.0019614,True,0.907,0.006124921224685348,0.11682317681494471,2.1944047125e-05,1.0903436544e-05,1.161136977e-06,0.08072284767338504,0.06387266285031877,0.18150433872801092,-0.05513238000000024,-0.04322491999999966,-0.17958701000000007,0.058962689999999984,0.047024710000000226,0.026312180000000046,0.07749559045283393,0.8474043011665344
338,0000338.bin,1000000000.0000002,999999999.9999988,True,0.907,0.006166238944879628,0.13429598644191987,2.2061758719e-05,1.4220673467000001e-05,4.816812e-07,0.0474577985881365,0.03665625188942942,0.1961144076837194,-0.04743439000000032,-0.036384179999999974,-0.19606807999999923,0.001490400000000137,-0.0044578299999999795,0.004262500000000148,0.04511410580464234,0.6063685417175293
339,0000339.bin,999000000.025323,999000000.025323,True,0.907,0.006256113564736458,0.12736230380069738,2.4958110177e-05,1.2867152298e-05,4.81245765e-07,0.028950149833014818,0.02700376994655808,0.14134663850127327,0.01994216000000044,0.023790790000000762,-0.1403773600000001,0.02098621999999977,0.012775049999999885,0.01652479999999998,0.026451139650489952,0.5424456000328064
340,0000340.bin,630850.2477315682,87055.95663596812,False,0.907,0.006037236384083383,0.15785953642041636,1.9797430652999996e-05,1.1491604124e-05,5.4060006e-08,0.18673955499434242,0.15898464266797224,0.09727357287295724,-0.1627806700000001,-0.13927047999999972,0.00847232000000034,0.09151018999999998,0.07668018000000063,-0.09690391000000008,0.17614572524142882,0.28301045298576355
341,0000341.bin,999000000.01204,999000000.01204,True,0.907,0.0062372417440191286,0.12931022241903564,2.8701211539e-05,9.712350648e-06,1.30225095e-06,0.0324806105164864,0.03628360249889513,0.1342632011645909,0.0318219399999998,0.034293130000000366,-0.13423647000000002,-0.0065080100000000085,-0.011852470000000176,0.002679049999999977,0.028008009724796983,0.9558131694793701
342,0000342.bin,7313110.739367594,11347247.395499472,False,0.907,0.006518629847632549,0.13396049818720535,2.6922099203999996e-05,1.3625496884999997e-05,9.483473999999999e-09,0.06988096135750885,0.06724580047183969,0.18167139091881349,-0.021495990000000603,-0.013295839999999783,-0.1773055799999999,-0.0664926399999994,-0.06591826999999985,-0.039588199999999706,0.06890143539826843,0.871965229511261
343,0000343.bin,999000000.0245396,999000000.0245396,True,0.907,0.006190400750178501,0.06463997344866552,2.2072809758999998e-05,1.2326155841999997e-05,7.3200557430000005e-06,0.06461701516480071,0.04960027257762385,0.11085856560173821,-0.056078839999999894,-0.043922609999999786,-0.11034156999999997,0.03210174999999995,0.02304325000000008,-0.01069389999999989,0.06576734635683495,0.26041021943092346
